capability_id,topic_id,topic_name,framework_sensitivity
CAO-04-011,TOPIC-04-004,"Research-versus-Development Assessment / Internal Software Cost Allocation / Cloud Computing / Implementation Cost Accounting",H
CAO-04-012,TOPIC-04-004,"Research-versus-Development Assessment / Internal Software Cost Allocation / Cloud Computing / Implementation Cost Accounting",H
CAO-04-013,TOPIC-04-005,"Intangible Asset Recognition / Intangible Asset Amortization",H
CAO-04-014,TOPIC-04-005,"Intangible Asset Recognition / Intangible Asset Amortization",H
CAO-04-015,TOPIC-04-006,"Asset Impairment / Goodwill Impairment Support",H
CAO-04-016,TOPIC-04-006,"Asset Impairment / Goodwill Impairment Support",H
CAO-04-017,TOPIC-04-007,"Lease Identification / Lease Classification",H
CAO-04-018,TOPIC-04-007,"Lease Identification / Lease Classification",H
CAO-04-019,TOPIC-04-008,"Lease Initial Measurement / Lease Subsequent Measurement",H
CAO-04-020,TOPIC-04-008,"Lease Initial Measurement / Lease Subsequent Measurement",H
CAO-04-021,TOPIC-04-009,"Lease Discount Rate / Lease Modification & Remeasurement",H
CAO-04-022,TOPIC-04-009,"Lease Discount Rate / Lease Modification & Remeasurement",H
CAO-04-023,TOPIC-04-010,"Lease Term Assessment / Lease Components & Payments",H
CAO-04-024,TOPIC-04-010,"Lease Term Assessment / Lease Components & Payments",H
CAO-04-025,TOPIC-04-011,"Sale-and-Leaseback Accounting / Lease Reconciliation & Disclosure Support",H
CAO-04-026,TOPIC-04-011,"Sale-and-Leaseback Accounting / Lease Reconciliation & Disclosure Support",H
CAO-05-001,TOPIC-05-001,"Accounts Payable Accounting / AP Subledger-to-GL Reconciliation",M
CAO-05-002,TOPIC-05-001,"Accounts Payable Accounting / AP Subledger-to-GL Reconciliation",M
CAO-05-003,TOPIC-05-002,"Expense Recognition & Cut-Off / Accrued Expense Methodology",M
CAO-05-004,TOPIC-05-002,"Expense Recognition & Cut-Off / Accrued Expense Methodology",M
CAO-05-005,TOPIC-05-003,"Vendor Credit & Debit Balance Accounting / Provisions & Contingencies",H
CAO-05-006,TOPIC-05-003,"Vendor Credit & Debit Balance Accounting / Provisions & Contingencies",H
CAO-05-007,TOPIC-05-004,"Onerous Contract Accounting / Payroll-to-GL Accounting",M
CAO-05-008,TOPIC-05-004,"Onerous Contract Accounting / Payroll-to-GL Accounting",M
CAO-05-009,TOPIC-05-005,"Payroll Accruals / Employee Benefit Accounting",H
CAO-05-010,TOPIC-05-005,"Payroll Accruals / Employee Benefit Accounting",H
CAO-05-011,TOPIC-05-006,"Bonus Accrual Accounting / Sales Incentive & Commission Compensation Accounting",M
CAO-05-012,TOPIC-05-006,"Bonus Accrual Accounting / Sales Incentive & Commission Compensation Accounting",M
CAO-05-013,TOPIC-05-007,"Share-Based Compensation / Employee Share Scheme Accounting",H
CAO-05-014,TOPIC-05-007,"Share-Based Compensation / Employee Share Scheme Accounting",H
CAO-05-015,TOPIC-05-008,"Cash-and-Equity Mixed Award Accounting / Modification, Cancellation & Settlement of Awards",M
CAO-05-016,TOPIC-05-008,"Cash-and-Equity Mixed Award Accounting / Modification, Cancellation & Settlement of Awards",M
CAO-05-017,TOPIC-05-009,"Severance & Termination Benefit Accounting / Vacation / Leave Liability Accounting",H
CAO-05-018,TOPIC-05-009,"Severance & Termination Benefit Accounting / Vacation / Leave Liability Accounting",H
CAO-05-019,TOPIC-05-010,"Compensation Reconciliations / Expense Classification Review",M
CAO-05-020,TOPIC-05-010,"Compensation Reconciliations / Expense Classification Review",M
CAO-06-001,TOPIC-06-001,"Bank Reconciliation / Cash-in-Transit Accounting / Restricted Cash Accounting",M
CAO-06-002,TOPIC-06-001,"Bank Reconciliation / Cash-in-Transit Accounting / Restricted Cash Accounting",M
CAO-06-003,TOPIC-06-001,"Bank Reconciliation / Cash-in-Transit Accounting / Restricted Cash Accounting",M
CAO-06-004,TOPIC-06-002,"Cash Classification & Presentation / Foreign Currency Transaction Accounting",H
CAO-06-005,TOPIC-06-002,"Cash Classification & Presentation / Foreign Currency Transaction Accounting",H
CAO-06-006,TOPIC-06-003,"Foreign Currency Remeasurement / Foreign Currency Translation",H
CAO-06-007,TOPIC-06-003,"Foreign Currency Remeasurement / Foreign Currency Translation",H
CAO-06-008,TOPIC-06-004,"FX Gain/Loss Analysis / Functional Currency Assessment",H
CAO-06-009,TOPIC-06-004,"FX Gain/Loss Analysis / Functional Currency Assessment",H
CAO-06-010,TOPIC-06-005,"Debt Accounting / Debt Issuance Cost Accounting",H
CAO-06-011,TOPIC-06-005,"Debt Accounting / Debt Issuance Cost Accounting",H
CAO-06-012,TOPIC-06-006,"Debt Modification & Extinguishment / Covenant Accounting & Disclosure Assessment",H
CAO-06-013,TOPIC-06-006,"Debt Modification & Extinguishment / Covenant Accounting & Disclosure Assessment",H
CAO-06-014,TOPIC-06-007,"Financial Asset Classification & Measurement / Financial Liability Classification & Measurement",H
CAO-06-015,TOPIC-06-007,"Financial Asset Classification & Measurement / Financial Liability Classification & Measurement",H
CAO-06-016,TOPIC-06-008,"Fair Value Measurement / Derivative Accounting",H
CAO-06-017,TOPIC-06-008,"Fair Value Measurement / Derivative Accounting",H
CAO-06-018,TOPIC-06-009,"Hedge Accounting / Investment Accounting",H
CAO-06-019,TOPIC-06-009,"Hedge Accounting / Investment Accounting",H
CAO-06-020,TOPIC-06-010,"Financial Instrument Impairment / Financial Instrument Disclosure Support",H
CAO-06-021,TOPIC-06-010,"Financial Instrument Impairment / Financial Instrument Disclosure Support",H
CAO-07-001,TOPIC-07-001,"Consolidation Scope Assessment / Subsidiary Accounting",H
CAO-07-002,TOPIC-07-001,"Consolidation Scope Assessment / Subsidiary Accounting",H
CAO-07-003,TOPIC-07-002,"Control Assessment / Non-Controlling Interest Accounting",H
CAO-07-004,TOPIC-07-002,"Control Assessment / Non-Controlling Interest Accounting",H
CAO-07-005,TOPIC-07-003,"Intercompany Accounting / Intercompany Reconciliation",M
CAO-07-006,TOPIC-07-003,"Intercompany Accounting / Intercompany Reconciliation",M
CAO-07-007,TOPIC-07-004,"Intercompany Elimination / Intercompany Profit Elimination",L
CAO-07-008,TOPIC-07-004,"Intercompany Elimination / Intercompany Profit Elimination",L
CAO-07-009,TOPIC-07-005,"Consolidation Journal Entries / Consolidation System & Process Design",H
CAO-07-010,TOPIC-07-005,"Consolidation Journal Entries / Consolidation System & Process Design",H
CAO-07-011,TOPIC-07-006,"Foreign Operation Translation / Group Chart of Accounts Mapping",L
CAO-07-012,TOPIC-07-006,"Foreign Operation Translation / Group Chart of Accounts Mapping",L
CAO-07-013,TOPIC-07-007,"Group Reporting Package Design / Equity Method Accounting",H
CAO-07-014,TOPIC-07-007,"Group Reporting Package Design / Equity Method Accounting",H
CAO-07-015,TOPIC-07-008,"Joint Arrangement Accounting / Changes in Ownership Interests",H
CAO-07-016,TOPIC-07-008,"Joint Arrangement Accounting / Changes in Ownership Interests",H
CAO-07-017,TOPIC-07-009,"Entity Acquisition / Disposal Consolidation / Consolidation Reconciliation & Review",H
CAO-07-018,TOPIC-07-009,"Entity Acquisition / Disposal Consolidation / Consolidation Reconciliation & Review",H
CAO-08-001,TOPIC-08-001,"Financial Statement Preparation / Balance Sheet Presentation",H
CAO-08-002,TOPIC-08-001,"Financial Statement Preparation / Balance Sheet Presentation",H
CAO-08-003,TOPIC-08-002,"Income Statement Presentation / Cash Flow Statement Preparation",H
CAO-08-004,TOPIC-08-002,"Income Statement Presentation / Cash Flow Statement Preparation",H
CAO-08-005,TOPIC-08-003,"Statement of Changes in Equity / Notes & Disclosure Preparation",H
CAO-08-006,TOPIC-08-003,"Statement of Changes in Equity / Notes & Disclosure Preparation",H
CAO-08-007,TOPIC-08-004,"Disclosure Checklist Management / Comparative Financial Information",H
CAO-08-008,TOPIC-08-004,"Disclosure Checklist Management / Comparative Financial Information",H
CAO-08-009,TOPIC-08-005,"Going Concern Financial Reporting Assessment / Subsequent Events Assessment",H
CAO-08-010,TOPIC-08-005,"Going Concern Financial Reporting Assessment / Subsequent Events Assessment",H
CAO-08-011,TOPIC-08-006,"Related Party Disclosure / Segment Reporting Support",H
CAO-08-012,TOPIC-08-006,"Related Party Disclosure / Segment Reporting Support",H
CAO-08-013,TOPIC-08-007,"Earnings per Share Support / Non-GAAP / Alternative Performance Measure Accounting Governance",H
CAO-08-014,TOPIC-08-007,"Earnings per Share Support / Non-GAAP / Alternative Performance Measure Accounting Governance",H
CAO-08-015,TOPIC-08-008,"Statutory Accounts Preparation / Management-to-Statutory Reporting Bridge",J
CAO-08-016,TOPIC-08-008,"Statutory Accounts Preparation / Management-to-Statutory Reporting Bridge",J
CAO-08-017,TOPIC-08-009,"Financial Statement Tie-Out / Disclosure Controls & Review",H
CAO-08-018,TOPIC-08-009,"Financial Statement Tie-Out / Disclosure Controls & Review",H
CAO-08-019,TOPIC-08-010,"Reporting Calendar & Certification / Financial Reporting Quality Review",H
CAO-08-020,TOPIC-08-010,"Reporting Calendar & Certification / Financial Reporting Quality Review",H
CAO-09-001,TOPIC-09-001,"Accounting Risk Assessment / Risk & Control Matrix Design / Control Design",M
CAO-09-002,TOPIC-09-001,"Accounting Risk Assessment / Risk & Control Matrix Design / Control Design",M
CAO-09-003,TOPIC-09-001,"Accounting Risk Assessment / Risk & Control Matrix Design / Control Design",M
CAO-09-004,TOPIC-09-002,"Control Precision Assessment / Preventive-versus-Detective Control Design / Manual Control Design",L
CAO-09-005,TOPIC-09-002,"Control Precision Assessment / Preventive-versus-Detective Control Design / Manual Control Design",L
CAO-09-006,TOPIC-09-002,"Control Precision Assessment / Preventive-versus-Detective Control Design / Manual Control Design",L
CAO-09-007,TOPIC-09-003,"Automated Control Design / Management Review Control Design / Control Evidence Standards",L
CAO-09-008,TOPIC-09-003,"Automated Control Design / Management Review Control Design / Control Evidence Standards",L
CAO-09-009,TOPIC-09-003,"Automated Control Design / Management Review Control Design / Control Evidence Standards",L
CAO-09-010,TOPIC-09-004,"Control Owner & Reviewer Design / Segregation of Duties Accounting Assessment / Journal Entry Controls",M
CAO-09-011,TOPIC-09-004,"Control Owner & Reviewer Design / Segregation of Duties Accounting Assessment / Journal Entry Controls",M
CAO-09-012,TOPIC-09-004,"Control Owner & Reviewer Design / Segregation of Duties Accounting Assessment / Journal Entry Controls",M
CAO-09-013,TOPIC-09-005,"Reconciliation Controls / Close Controls",L
CAO-09-014,TOPIC-09-005,"Reconciliation Controls / Close Controls",L
CAO-09-015,TOPIC-09-006,"Financial Reporting Controls / IT-Dependent Accounting Control Assessment",H
CAO-09-016,TOPIC-09-006,"Financial Reporting Controls / IT-Dependent Accounting Control Assessment",H
CAO-09-017,TOPIC-09-007,"Control Deficiency Evaluation / Remediation Planning",L
CAO-09-018,TOPIC-09-007,"Control Deficiency Evaluation / Remediation Planning",L
CAO-09-019,TOPIC-09-008,"Control Testing Readiness / SOX / ICFR Readiness",J
CAO-09-020,TOPIC-09-008,"Control Testing Readiness / SOX / ICFR Readiness",J
CAO-09-021,TOPIC-09-009,"Accounting Governance & Approval Matrix / Fraud Risk Accounting Controls",M
CAO-09-022,TOPIC-09-009,"Accounting Governance & Approval Matrix / Fraud Risk Accounting Controls",M
CAO-10-001,TOPIC-10-001,"External Audit Planning / Audit PBC Management / Audit Evidence Preparation",L
CAO-10-002,TOPIC-10-001,"External Audit Planning / Audit PBC Management / Audit Evidence Preparation",L
CAO-10-003,TOPIC-10-001,"External Audit Planning / Audit PBC Management / Audit Evidence Preparation",L
CAO-10-004,TOPIC-10-002,"Audit Support Paper Preparation / Audit Query Response / Audit Sample Support",L
CAO-10-005,TOPIC-10-002,"Audit Support Paper Preparation / Audit Query Response / Audit Sample Support",L
CAO-10-006,TOPIC-10-002,"Audit Support Paper Preparation / Audit Query Response / Audit Sample Support",L
CAO-10-007,TOPIC-10-003,"Walkthrough Readiness / Significant Risk Readiness / Accounting Estimate Audit Readiness",H
CAO-10-008,TOPIC-10-003,"Walkthrough Readiness / Significant Risk Readiness / Accounting Estimate Audit Readiness",H
CAO-10-009,TOPIC-10-003,"Walkthrough Readiness / Significant Risk Readiness / Accounting Estimate Audit Readiness",H
CAO-10-010,TOPIC-10-004,"Technical Accounting Audit Defense / Audit Adjustment Assessment / Unadjusted Difference Tracking",M
CAO-10-011,TOPIC-10-004,"Technical Accounting Audit Defense / Audit Adjustment Assessment / Unadjusted Difference Tracking",M
CAO-10-012,TOPIC-10-004,"Technical Accounting Audit Defense / Audit Adjustment Assessment / Unadjusted Difference Tracking",M
CAO-10-013,TOPIC-10-005,"Management Representation Support / Audit Findings & Management Letter Remediation",L
CAO-10-014,TOPIC-10-005,"Management Representation Support / Audit Findings & Management Letter Remediation",L
CAO-10-015,TOPIC-10-006,"Internal Audit Accounting Support / Assurance Readiness Assessment",M
CAO-10-016,TOPIC-10-006,"Internal Audit Accounting Support / Assurance Readiness Assessment",M
CAO-10-017,TOPIC-10-007,"Auditor Independence Information Support / Audit Status & Issue Governance",L
CAO-10-018,TOPIC-10-007,"Auditor Independence Information Support / Audit Status & Issue Governance",L
CAO-11-001,TOPIC-11-001,"ERP Accounting Architecture / Chart of Accounts Design / Dimension & Segment Design",H
CAO-11-002,TOPIC-11-001,"ERP Accounting Architecture / Chart of Accounts Design / Dimension & Segment Design",H
CAO-11-003,TOPIC-11-001,"ERP Accounting Architecture / Chart of Accounts Design / Dimension & Segment Design",H
CAO-11-004,TOPIC-11-002,"Legal Entity & Book Architecture / Subledger Architecture / Accounting Master Data Governance",M
CAO-11-005,TOPIC-11-002,"Legal Entity & Book Architecture / Subledger Architecture / Accounting Master Data Governance",M
CAO-11-006,TOPIC-11-002,"Legal Entity & Book Architecture / Subledger Architecture / Accounting Master Data Governance",M
CAO-11-007,TOPIC-11-003,"Accounting Interface Design / System-to-System Reconciliation Design / Accounting Data Lineage",M
CAO-11-008,TOPIC-11-003,"Accounting Interface Design / System-to-System Reconciliation Design / Accounting Data Lineage",M
CAO-11-009,TOPIC-11-003,"Accounting Interface Design / System-to-System Reconciliation Design / Accounting Data Lineage",M
CAO-11-010,TOPIC-11-004,"Accounting Data Quality Rules / Accounting Requirements Definition / ERP Implementation Accounting Design",M
CAO-11-011,TOPIC-11-004,"Accounting Data Quality Rules / Accounting Requirements Definition / ERP Implementation Accounting Design",M
CAO-11-012,TOPIC-11-004,"Accounting Data Quality Rules / Accounting Requirements Definition / ERP Implementation Accounting Design",M
CAO-11-013,TOPIC-11-005,"ERP Migration & Cutover Accounting / Opening Balance Migration Validation",M
CAO-11-014,TOPIC-11-005,"ERP Migration & Cutover Accounting / Opening Balance Migration Validation",M
CAO-11-015,TOPIC-11-006,"Finance System Access & Role Accounting Requirements / Accounting Automation Design",M
CAO-11-016,TOPIC-11-006,"Finance System Access & Role Accounting Requirements / Accounting Automation Design",M
CAO-11-017,TOPIC-11-007,"Spreadsheet Governance / Accounting End-User Computing Controls",M
CAO-11-018,TOPIC-11-007,"Spreadsheet Governance / Accounting End-User Computing Controls",M
CAO-11-019,TOPIC-11-008,"Accounting Data Warehouse Requirements / Accounting Reporting Layer Design",M
CAO-11-020,TOPIC-11-008,"Accounting Data Warehouse Requirements / Accounting Reporting Layer Design",M
CAO-11-021,TOPIC-11-009,"AI-in-Accounting Control Design / Accounting System Change Impact Assessment",M
CAO-11-022,TOPIC-11-009,"AI-in-Accounting Control Design / Accounting System Change Impact Assessment",M
CAO-11-023,TOPIC-11-010,"Accounting Integration Monitoring / Finance Data Reconciliation Automation Assessment",M
CAO-11-024,TOPIC-11-010,"Accounting Integration Monitoring / Finance Data Reconciliation Automation Assessment",M
CAO-12-001,TOPIC-12-001,"Procure-to-Pay Accounting Process / Invoice-to-GL Accounting Process / Expense Management Accounting Process",M
CAO-12-002,TOPIC-12-001,"Procure-to-Pay Accounting Process / Invoice-to-GL Accounting Process / Expense Management Accounting Process",M
CAO-12-003,TOPIC-12-001,"Procure-to-Pay Accounting Process / Invoice-to-GL Accounting Process / Expense Management Accounting Process",M
CAO-12-004,TOPIC-12-002,"Order-to-Cash Accounting Process / Billing-to-GL Accounting Process / Cash Application Process",M
CAO-12-005,TOPIC-12-002,"Order-to-Cash Accounting Process / Billing-to-GL Accounting Process / Cash Application Process",M
CAO-12-006,TOPIC-12-002,"Order-to-Cash Accounting Process / Billing-to-GL Accounting Process / Cash Application Process",M
CAO-12-007,TOPIC-12-003,"Collections-to-Accounting Interface / Payroll Accounting Process / Payroll-to-GL Reconciliation Process",M
CAO-12-008,TOPIC-12-003,"Collections-to-Accounting Interface / Payroll Accounting Process / Payroll-to-GL Reconciliation Process",M
CAO-12-009,TOPIC-12-003,"Collections-to-Accounting Interface / Payroll Accounting Process / Payroll-to-GL Reconciliation Process",M
CAO-12-010,TOPIC-12-004,"Fixed Asset Accounting Process / Lease Accounting Process / Intercompany Accounting Process",H
CAO-12-011,TOPIC-12-004,"Fixed Asset Accounting Process / Lease Accounting Process / Intercompany Accounting Process",H
CAO-12-012,TOPIC-12-004,"Fixed Asset Accounting Process / Lease Accounting Process / Intercompany Accounting Process",H
CAO-12-013,TOPIC-12-005,"Bank Reconciliation Process / Reconciliation Operating Model",L
CAO-12-014,TOPIC-12-005,"Bank Reconciliation Process / Reconciliation Operating Model",L
CAO-12-015,TOPIC-12-006,"Journal Entry Operating Model / Accounting Process Documentation",M
CAO-12-016,TOPIC-12-006,"Journal Entry Operating Model / Accounting Process Documentation",M
CAO-12-017,TOPIC-12-007,"Accounting SOP Design / Accounting Process Ownership",M
CAO-12-018,TOPIC-12-007,"Accounting SOP Design / Accounting Process Ownership",M
CAO-12-019,TOPIC-12-008,"Accounting Exception Management / Accounting Queue & Workflow Design",M
CAO-12-020,TOPIC-12-008,"Accounting Exception Management / Accounting Queue & Workflow Design",M
CAO-12-021,TOPIC-12-009,"Accounting Service-Level Management / Accounting Process Automation Assessment",M
CAO-12-022,TOPIC-12-009,"Accounting Service-Level Management / Accounting Process Automation Assessment",M
CAO-13-001,TOPIC-13-001,"Business Combination Accounting / Purchase Price Allocation Coordination",H
CAO-13-002,TOPIC-13-001,"Business Combination Accounting / Purchase Price Allocation Coordination",H
CAO-13-003,TOPIC-13-002,"Acquisition-Date Accounting / Contingent Consideration Accounting",H
CAO-13-004,TOPIC-13-002,"Acquisition-Date Accounting / Contingent Consideration Accounting",H
CAO-13-005,TOPIC-13-003,"Acquisition-Related Cost Accounting / Measurement Period Adjustments",H
CAO-13-006,TOPIC-13-003,"Acquisition-Related Cost Accounting / Measurement Period Adjustments",H
CAO-13-007,TOPIC-13-004,"Divestiture Accounting / Discontinued Operations Assessment",H
CAO-13-008,TOPIC-13-004,"Divestiture Accounting / Discontinued Operations Assessment",H
CAO-13-009,TOPIC-13-005,"Asset Acquisition Accounting / Restructuring Accounting",H
CAO-13-010,TOPIC-13-005,"Asset Acquisition Accounting / Restructuring Accounting",H
CAO-13-011,TOPIC-13-006,"Debt Restructuring Accounting / Equity Financing Accounting",H
CAO-13-012,TOPIC-13-006,"Debt Restructuring Accounting / Equity Financing Accounting",H
CAO-13-013,TOPIC-13-007,"Convertible Instrument Accounting / Warrant Accounting",H
CAO-13-014,TOPIC-13-007,"Convertible Instrument Accounting / Warrant Accounting",H
CAO-13-015,TOPIC-13-008,"Complex Contract Accounting Assessment / Related-Party Transaction Accounting",M
CAO-13-016,TOPIC-13-008,"Complex Contract Accounting Assessment / Related-Party Transaction Accounting",M
CAO-13-017,TOPIC-13-009,"Common-Control Transaction Accounting / Spin-Off / Demerger Accounting",M
CAO-13-018,TOPIC-13-009,"Common-Control Transaction Accounting / Spin-Off / Demerger Accounting",M
CAO-13-019,TOPIC-13-010,"Carve-Out Financial Statement Accounting / Fresh-Start / Reorganization Accounting Assessment",H
CAO-13-020,TOPIC-13-010,"Carve-Out Financial Statement Accounting / Fresh-Start / Reorganization Accounting Assessment",H
CAO-13-021,TOPIC-13-011,"Hyperinflationary Accounting Assessment",H
CAO-13-022,TOPIC-13-012,"Special Transaction Accounting Workplan",M
